question,tier,outcome,attempts,refocused,rejected_answer,reason,reference,latency,false_rejection
"En una gestante con VIH que además inicia tratamiento para tuberculosis con rifampicina, ¿qué régimen antirretroviral es preferible y qué interacción hay que evitar?",multihop,answered,1,False,,"La respuesta es apta porque aborda la pregunta sobre el régimen antirretroviral preferible para una gestante con VIH que inicia tratamiento para TB con rifampicina, y todas las afirmaciones están respaldadas por el contexto proporcionado. Se menciona correctamente el régimen preferido (TDF/FTC o ABC/3TC con EFV) y la interacción a evitar (TAF con rifampicina).","Hay que combinar dos exigencias: un TAR seguro en el embarazo y compatible con rifampicina. La rifampicina es un inductor potente que reduce las concentraciones de la mayoría de antirretrovirales: no pueden usarse bictegravir, elvitegravir/cobicistat ni cabotegravir, y los IP potenciados con ritonavir/cobicistat tampoco. La opción preferida es 2 ITIAN (tenofovir/emtricitabina o abacavir/lamivudina) más un fármaco compatible: dolutegravir con la dosis ajustada a 50 mg/12 h (manteniéndola hasta 2 semanas tras finalizar la rifampicina) o efavirenz a dosis estándar, ambos con experiencia de uso en gestación. Debe vigilarse la carga viral por el riesgo de infradosificación y la transmisión vertical.",28.30945319996681,False
Un paciente suprimido con tenofovir/emtricitabina + un tercer fármaco y coinfección por VHB quiere simplificar a dolutegravir + lamivudina. ¿Es adecuado?,multihop,answered,1,False,,"La respuesta es relevante y fiel al contexto proporcionado. Aborda la pregunta sobre la adecuación de simplificar el tratamiento a DTG + 3TC en un paciente con coinfección por VHB y explica que esta simplificación no es adecuada debido a la falta de eficacia de DTG + 3TC frente a la infección crónica por VHB, como se menciona en el contexto.","No. La coinfección por VHB exige mantener dos fármacos activos frente al VHB (habitualmente tenofovir —TAF o TDF— junto con 3TC o FTC). La pauta dual DTG/3TC no cubre adecuadamente el VHB y, al retirar el tenofovir, existe riesgo de reactivación de la hepatitis B con posible hepatitis grave. Por tanto, la coinfección por VHB contraindica esta simplificación; debe mantenerse un régimen con cobertura anti-VHB.",50.79694340005517,False
"En un paciente con insuficiencia renal avanzada que además tiene hepatitis B crónica, ¿cómo se resuelve el conflicto para cubrir el VHB sin dañar el riñón?",multihop,answered,1,False,,"La respuesta aborda adecuadamente la pregunta sobre cómo manejar el tratamiento en un paciente con insuficiencia renal avanzada y coinfección por VHB, utilizando información del contexto sobre ajustes de dosis y elección de fármacos. Todas las afirmaciones están respaldadas por el contexto proporcionado.","Hay un conflicto: el VHB exige tenofovir (activo frente al VHB), pero el tenofovir disoproxilo (TDF) es nefrotóxico y debe evitarse en insuficiencia renal. La solución es usar tenofovir alafenamida (TAF), que mantiene actividad anti-VHB con mucha menor toxicidad renal y se puede emplear en grados moderados de insuficiencia (con precaución según el filtrado), en lugar de TDF. Deben ajustarse al filtrado glomerular los ITIAN de eliminación renal y recordar que cobicistat eleva la creatinina sin reducir el filtrado real. No debe retirarse la cobertura anti-VHB sin una alternativa activa.",27.443014200078323,False
"Tras una exposición ocupacional de riesgo en una profesional sanitaria embarazada, ¿está indicada la profilaxis postexposición y cómo influye el embarazo en la pauta?",multihop,answered,1,False,,La respuesta aborda adecuadamente la pregunta sobre la indicación de PPE en una profesional sanitaria embarazada y cómo el embarazo influye en la pauta. Todas las afirmaciones están respaldadas por el contexto proporcionado.,"El embarazo no contraindica la PEP: si la exposición es de riesgo y la fuente es VIH positiva (o de serología desconocida con riesgo), debe iniciarse cuanto antes, idealmente en las primeras horas y siempre dentro de las 72 horas. Se eligen antirretrovirales con experiencia de seguridad en gestación, evitando los desaconsejados en embarazo, y manteniendo la pauta 4 semanas con seguimiento serológico. Debe valorarse el riesgo-beneficio e informar a la paciente, pero el embarazo en sí no es motivo para no administrar la PEP.",41.14358569995966,False
"En un paciente con tuberculosis y CD4 muy bajos, ¿cuándo iniciar el TAR y cómo evitar a la vez el síndrome de reconstitución inmune y las interacciones con la rifampicina?",multihop,answered,1,False,,"La respuesta es apta porque aborda adecuadamente la pregunta sobre cuándo iniciar el TAR en pacientes con TB y CD4 muy bajos, cómo prevenir el SIRI y cómo manejar las interacciones con la rifampicina. Todas las afirmaciones están respaldadas por el contexto proporcionado.","Con CD4 muy bajos (<50 cél/µL) el TAR debe iniciarse precozmente, dentro de las primeras 2 semanas del tratamiento antituberculoso, para reducir la mortalidad; con CD4 más altos puede diferirse hasta unas 8 semanas. La excepción es la meningitis tuberculosa, donde se retrasa el inicio por el alto riesgo de SIRI grave. Para evitar las interacciones con la rifampicina (inductor potente), se eligen fármacos compatibles: efavirenz a dosis estándar o dolutegravir 50 mg/12 h, evitando bictegravir, elvitegravir/cobicistat, cabotegravir y los IP potenciados.",34.11847750004381,False
¿Puede usarse la pauta dual dolutegravir + lamivudina en cualquier paciente con carga viral indetectable que quiera simplificar?,adversarial,technical_error,0,False,,,"No, no en cualquiera. DTG/3TC NO debe usarse si hay coinfección por VHB (no lo cubre), resistencia conocida o sospechada a lamivudina (M184V/I) o a inhibidores de integrasa, ausencia de estudio de resistencias previo, antecedente de fracaso virológico, o adherencia no garantizada. Solo es adecuada en pacientes suprimidos de forma estable que cumplan esos criterios de seguridad.",16.431088000070304,False
¿Está indicada la profilaxis postexposición siempre que se produzca un pinchazo accidental con una aguja?,adversarial,answered,1,False,,"La respuesta es apta porque aborda directamente la pregunta sobre la indicación de la profilaxis postexposición (PPE) en casos de pinchazo accidental con aguja, y todas las afirmaciones están respaldadas por el contexto proporcionado. La respuesta menciona correctamente que la PPE no está recomendada en la comunidad debido al bajo riesgo y la dificultad para determinar el uso de la aguja y el estado serológico de la fuente, y que se debe considerar en casos específicos de exposición ocupacional o con agujas usadas por personas con VIH y carga viral detectable o desconocida.","No siempre. No se indica PEP cuando no hay riesgo apreciable: fuente VIH negativa o con carga viral indetectable confirmada, contacto con fluidos no infecciosos, exposición sobre piel intacta, aguja sólida sin sangre visible de bajo riesgo, o si han transcurrido más de 72 horas. La indicación depende del tipo de exposición, del inóculo y del estado serológico/carga viral de la fuente.",43.88302280008793,False
"Para evitar el síndrome de reconstitución inmune, ¿conviene retrasar el inicio del TAR en todos los pacientes con tuberculosis?",adversarial,answered,1,False,,"La respuesta aborda adecuadamente la pregunta sobre el inicio del TAR en pacientes con TB para evitar el SIRI, diferenciando entre TB meníngea y no meníngea, y está respaldada por el contexto proporcionado.","No. En general el TAR se inicia precozmente: con CD4 muy bajos (<50) dentro de las 2 primeras semanas, porque retrasarlo aumenta la mortalidad. Solo se difiere de forma marcada en la meningitis tuberculosa, por el alto riesgo de SIRI grave del SNC. Retrasar el TAR en todos los pacientes con TB sería un error: el equilibrio entre riesgo de SIRI y de mortalidad depende del recuento de CD4 y de la localización de la TB.",35.122216399991885,False
"Si un paciente está indetectable, ¿puede prescindir del preservativo con su pareja sin más condiciones?",adversarial,answered,1,False,,"La respuesta aborda la pregunta del usuario sobre la posibilidad de prescindir del preservativo cuando el paciente está indetectable, y lo hace de manera relevante y fiel al contexto proporcionado. Se mencionan las condiciones adicionales necesarias para minimizar el riesgo de transmisión, como el buen cumplimiento del tratamiento, la carga viral indetectable sostenida, y la ausencia de otras ITS, lo cual está respaldado por el contexto.","Solo bajo la condición de U=U: la intransmisibilidad sexual requiere una supresión virológica mantenida y estable (carga viral indetectable confirmada y sostenida con buena adherencia). Con adherencia irregular o supresión no confirmada no se cumple la condición y existe riesgo de viremia y transmisión. Además, el preservativo sigue protegiendo frente a otras ITS y embarazos no deseados, lo que puede aconsejarlo igualmente.",45.032524200039916,False
"Un paciente con VIH-2 va a iniciar TAR y, como tiene tuberculosis, se plantea efavirenz por su buena compatibilidad con la rifampicina. ¿Es correcto?",adversarial,insufficient,1,False,,Declared insufficient information; nothing to validate.,"No es correcto. Aunque el efavirenz es compatible con la rifampicina, el VIH-2 es intrínsecamente resistente a los ITINN, por lo que el efavirenz NO es activo frente al VIH-2 y no debe usarse. La buena compatibilidad farmacocinética con la rifampicina no compensa la falta de actividad antiviral. Hay que elegir 2 ITIAN + un inhibidor de integrasa compatible con rifampicina (dolutegravir 50 mg/12 h) o sustituir la rifampicina por rifabutina para usar un IP/p activo.",21.550310100079514,False
